,wind_950mb,wind_900mb,wind_850mb,wind_800mb,wind_750mb,wind_700mb,wind_650mb,wind_600mb,wind_550mb,wind_500mb,wind_450mb,wind_400mb,wind_350mb,wind_300mb,wind_250mb,wind_200mb,rh_950mb,rh_900mb,rh_850mb,rh_800mb,rh_750mb,rh_700mb,rh_650mb,rh_600mb,rh_550mb,rh_500mb,rh_450mb,rh_400mb,rh_350mb,rh_300mb,rh_250mb,rh_200mb,timepoint,cloudcover,highcloud,midcloud,lowcloud,temp2m,lifted_index,rh2m,msl_pressure,prec_amount,snow_depth,wind10m.direction,wind10m.speed,year,type,country,age,species_,fecha_limpia,fatal,sex,latitud,longitud,country2,fatal_N,fatal_Unknown,fatal_Y,fatal_N.1,fatal_Unknown.1,fatal_Y.1,species_.1,fecha_limpia.1,type.1,age_NORM
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Unprovoked,usa,52.0,Lemon shark,May,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,7.0,8.730109485924778
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Unprovoked,usa,15.0,Lemon shark,May,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,7.0,4.581659276135893
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Unprovoked,usa,12.0,Unespecific,May,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,9.0,7.0,4.014118284080704
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Provoked,australia,32.0,Grey shark,May,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,4.0,6.886696297701842
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Unprovoked,usa,10.0,Unespecific,May,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,9.0,7.0,3.58302947382199
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Provoked,australia,34.0,Tiger shark,May,N,F,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,2.0,9.0,4.0,7.099692669303527
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Unprovoked,south africa,27.0,Unespecific,May,N,M,-28.8166236,24.991639,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,9.0,7.0,6.313925056346614
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Questionable,australia,27.0,Tiger shark,May,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,2.0,9.0,5.0,6.313925056346614
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Unprovoked,australia,27.0,Unespecific,Apr,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,7.0,6.313925056346614
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Questionable,australia,27.0,Tiger shark,Apr,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,6.313925056346614
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Unprovoked,australia,60.0,Unespecific,Apr,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,7.0,9.33772223524818
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Unprovoked,australia,27.0,White shark,Apr,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,7.0,6.313925056346614
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Unprovoked,south africa,33.0,White shark,Apr,N,M,-28.8166236,24.991639,HS,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,7.0,6.994228303440125
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Unprovoked,usa,29.0,Unespecific,Apr,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,7.0,6.550576128997467
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Unprovoked,australia,41.0,Unespecific,Apr,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,7.0,7.787508352596997
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Unprovoked,australia,37.0,Unespecific,Apr,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,7.0,7.404632331573262
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Unprovoked,south africa,19.0,White shark,Apr,N,M,-28.8166236,24.991639,HS,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,7.0,5.234668409736022
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Unprovoked,usa,25.0,Tiger shark,Mar,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,2.0,8.0,7.0,6.06575989245481
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Unprovoked,australia,10.0,Unespecific,Mar,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,8.0,7.0,3.58302947382199
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Unprovoked,australia,69.0,Unespecific,Mar,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,8.0,7.0,9.962100956081583
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Unprovoked,australia,18.0,Unespecific,Mar,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,8.0,7.0,5.08038032862004
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Unprovoked,south africa,38.0,Tiger shark,Feb,N,M,-28.8166236,24.991639,HS,1.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,7.0,7.502744447095262
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Unprovoked,australia,55.0,White shark,Feb,N,F,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,7.0,8.964550975600854
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Provoked,australia,34.0,Unespecific,Feb,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,4.0,7.099692669303527
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Unprovoked,australia,35.0,Lemon shark,Feb,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,7.0,7.203188258363141
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Invalid,australia,27.0,Lemon shark,Feb,N,F,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,3.0,6.313925056346614
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Invalid,australia,14.0,Unespecific,Feb,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,3.0,4.401298165473145
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Unprovoked,australia,18.0,Lemon shark,Jan,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,7.0,5.08038032862004
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Unprovoked,australia,27.0,Grey shark,Jan,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,7.0,6.313925056346614
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Unprovoked,australia,28.0,White shark,Jan,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0,7.0,6.433604428309159
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Unprovoked,australia,27.0,Unespecific,Jan,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,7.0,6.313925056346614
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,usa,54.0,Tiger shark,Dec,N,F,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,7.0,8.887334884989867
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,usa,35.0,Unespecific,Dec,N,F,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,7.0,7.203188258363141
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,usa,25.0,White shark,Nov,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,4.0,11.0,7.0,6.06575989245481
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,usa,14.0,Unespecific,Nov,N,F,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,11.0,7.0,4.401298165473145
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,australia,25.0,Unespecific,Nov,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,11.0,7.0,6.06575989245481
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,australia,7.0,Tiger shark,Oct,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,2.0,12.0,7.0,2.8171618157744365
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,australia,31.0,Unespecific,Oct,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,12.0,7.0,6.776989545291685
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,usa,27.0,Unespecific,Oct,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,12.0,7.0,6.313925056346614
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,usa,17.0,Unespecific,Oct,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,12.0,7.0,4.9204987475712345
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,usa,60.0,Unespecific,Oct,N,F,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,12.0,7.0,9.33772223524818
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,australia,15.0,White shark,Oct,N,F,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,4.0,12.0,7.0,4.581659276135893
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,new zealand,27.0,Unespecific,Oct,N,M,-41.5000831,172.8344077,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,12.0,7.0,6.313925056346614
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,usa,27.0,Tiger shark,Oct,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,2.0,12.0,7.0,6.313925056346614
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,usa,54.0,Tiger shark,Oct,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,2.0,12.0,7.0,8.887334884989867
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,usa,40.0,Unespecific,Oct,N,F,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,12.0,7.0,7.694116247373475
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Invalid,south africa,31.0,Tiger shark,Oct,Unknown,M,-28.8166236,24.991639,HS,0.0,1.0,0.0,0.0,1.0,0.0,2.0,12.0,3.0,6.776989545291685
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,usa,27.0,Unespecific,Sep,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,13.0,7.0,6.313925056346614
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,australia,27.0,White shark,Sep,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,4.0,13.0,7.0,6.313925056346614
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Invalid,usa,33.0,Tiger shark,Sep,Unknown,M,39.7837304,-100.445882,HN,0.0,1.0,0.0,0.0,1.0,0.0,2.0,13.0,3.0,6.994228303440125
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,usa,27.0,Tiger shark,Sep,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,2.0,13.0,7.0,6.313925056346614
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,usa,27.0,Unespecific,Sep,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,13.0,7.0,6.313925056346614
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,usa,28.0,Unespecific,Sep,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,13.0,7.0,6.433604428309159
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Invalid,south africa,25.0,Unespecific,Sep,Unknown,M,-28.8166236,24.991639,HS,0.0,1.0,0.0,0.0,1.0,0.0,3.0,13.0,3.0,6.06575989245481
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Boating,australia,27.0,White shark,Sep,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,4.0,13.0,1.0,6.313925056346614
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,usa,18.0,Tiger shark,Sep,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,2.0,13.0,7.0,5.08038032862004
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,australia,27.0,Unespecific,Sep,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,13.0,7.0,6.313925056346614
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,australia,35.0,White shark,Sep,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,4.0,13.0,7.0,7.203188258363141
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,south africa,27.0,Unespecific,Sep,Y,M,-28.8166236,24.991639,HS,0.0,0.0,1.0,0.0,0.0,1.0,3.0,13.0,7.0,6.313925056346614
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,usa,27.0,Unespecific,Sep,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,13.0,7.0,6.313925056346614
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,usa,27.0,Unespecific,Sep,N,F,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,13.0,7.0,6.313925056346614
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,usa,17.0,Unespecific,Sep,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,13.0,7.0,4.9204987475712345
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,australia,37.0,White shark,Aug,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,7.0,7.404632331573262
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,usa,3.0,Unespecific,Aug,N,F,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,7.0,1.347119124437954
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,new zealand,27.0,Unespecific,Aug,N,M,-41.5000831,172.8344077,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,7.0,6.313925056346614
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,usa,69.0,White shark,Aug,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,7.0,9.962100956081583
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,usa,13.0,Tiger shark,Aug,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,7.0,4.212483084143039
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Provoked,usa,34.0,Unespecific,Aug,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,4.0,7.099692669303527
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Boating,usa,27.0,White shark,Aug,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,6.313925056346614
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,usa,15.0,Unespecific,Jul,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,6.0,7.0,4.581659276135893
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Invalid,usa,10.0,Lemon shark,Jul,Unknown,M,39.7837304,-100.445882,HN,0.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,3.0,3.58302947382199
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,usa,12.0,Unespecific,Jul,N,F,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,6.0,7.0,4.014118284080704
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,usa,27.0,Tiger shark,Jul,N,F,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,7.0,6.313925056346614
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,usa,40.0,Lemon shark,Jul,N,F,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,7.0,7.694116247373475
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Invalid,usa,8.0,Tiger shark,Jul,Unknown,F,39.7837304,-100.445882,HN,0.0,1.0,0.0,0.0,1.0,0.0,2.0,6.0,3.0,3.0924534898737304
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Boating,usa,40.0,White shark,Jul,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,4.0,6.0,1.0,7.694116247373475
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,usa,50.0,White shark,Jul,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,4.0,6.0,7.0,8.568961017177946
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,usa,27.0,White shark,Jul,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,4.0,6.0,7.0,6.313925056346614
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,australia,27.0,Unespecific,Jul,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,6.0,7.0,6.313925056346614
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Boating,usa,27.0,White shark,Jul,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,4.0,6.0,1.0,6.313925056346614
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Unprovoked,usa,46.0,Tiger shark,Jul,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,7.0,8.233822118168822
